日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-17,泰安,三线城市,山东,暴雨,26,0.00,1.0
2026-07-17,南阳,三线城市,河南,中雨,32,0.00,1.0
2026-07-17,清远,三线城市,广东,雷阵雨,30,0.00,1.0
2026-07-17,柳州,三线城市,广西,阵雨,34,0.00,1.0
2026-07-17,菏泽,三线城市,山东,大雨,30,0.00,1.0
2026-07-17,蚌埠,三线城市,安徽,小雨,34,0.00,1.0
2026-07-17,沧州,三线城市,河北,阴,30,0.00,1.0
2026-07-17,株洲,三线城市,湖南,阴,37,0.00,1.0
2026-07-17,驻马店,三线城市,河南,大雨,34,0.00,1.0
2026-07-17,遵义,三线城市,贵州,阵雨,33,0.00,1.0
2026-07-17,江门,三线城市,广东,中雨,30,0.00,1.0
2026-07-17,潮州,三线城市,广东,中雨,31,0.00,1.0
2026-07-17,威海,三线城市,山东,小雨,25,0.00,1.0
2026-07-17,新乡,三线城市,河南,大雨,28,0.00,1.0
2026-07-17,德州,三线城市,山东,雷阵雨,31,0.00,1.0
2026-07-17,三亚,三线城市,海南,小雨,32,0.50,0.6667
2026-07-17,邯郸,三线城市,河北,雷阵雨,29,0.00,1.0
2026-07-17,琼海,三线城市,海南,多云,35,0.00,1.0
2026-07-17,运城,三线城市,山西,晴,29,0.00,1.0
2026-07-17,西宁,四线城市,青海,小雨,23,0.00,0.975
2026-07-17,云浮,四线城市,广东,雷阵雨,31,0.00,1.0
2026-07-17,自贡,四线城市,四川,阴,34,0.00,1.0
2026-07-17,衢州,四线城市,浙江,多云,36,0.00,1.0
2026-07-17,龙岩,四线城市,福建,小雨,33,0.00,1.0
2026-07-17,德阳,四线城市,四川,多云,33,0.00,1.0
2026-07-17,亳州,四线城市,安徽,中雨,31,0.00,1.0
2026-07-17,宝鸡,四线城市,陕西,多云,34,0.00,1.0
2026-07-17,益阳,四线城市,湖南,阴,35,0.00,1.0
2026-07-17,三明,四线城市,福建,小雨,36,0.00,1.0
2026-07-17,孝感,四线城市,湖北,小雨,35,0.00,1.0
2026-07-17,日照,四线城市,山东,大雨,26,0.00,1.0
2026-07-17,茂名,四线城市,广东,雷阵雨,31,0.00,1.0
2026-07-17,内江,四线城市,四川,雷阵雨,34,0.00,0.9091
2026-07-17,黄冈,四线城市,湖北,阴,36,0.00,1.0
2026-07-17,丽水,四线城市,浙江,多云,38,0.00,1.0
2026-07-17,邵阳,四线城市,湖南,雷阵雨,34,0.00,1.0
2026-07-17,眉山,四线城市,四川,阵雨,32,0.00,0.875
2026-07-17,濮阳,四线城市,河南,小雨,29,0.00,1.0
2026-07-17,宜宾,四线城市,四川,大雨,33,0.00,1.0
2026-07-17,常德,四线城市,湖南,小雨,37,0.00,1.0
2026-07-17,梅州,四线城市,广东,雷阵雨,32,0.00,1.0
2026-07-17,河源,四线城市,广东,雷阵雨,31,0.00,1.0
2026-07-17,营口,四线城市,辽宁,晴,28,0.00,1.0
2026-07-17,咸宁,四线城市,湖北,阴,37,0.00,1.0
2026-07-17,郴州,四线城市,湖南,小雨,34,0.00,1.0
2026-07-17,抚州,四线城市,江西,晴,35,0.00,1.0
2026-07-17,汕尾,四线城市,广东,大雨,29,0.00,1.0
2026-07-17,黔东南苗族侗族自治州,四线城市,贵州,阵雨,33,0.00,1.0
2026-07-17,永州,四线城市,湖南,多云,36,0.00,1.0
2026-07-17,锦州,四线城市,辽宁,晴,31,0.00,1.0
2026-07-17,百色,四线城市,广西,中雨,32,0.00,1.0
2026-07-17,晋中,四线城市,山西,小雨,29,0.00,1.0
2026-07-17,淮南,四线城市,安徽,小雨,34,0.00,1.0
2026-07-17,玉林,四线城市,广西,中雨,32,0.00,1.0
2026-07-17,丹东,四线城市,辽宁,多云,29,0.00,1.0
2026-07-17,衡水,四线城市,河北,雷阵雨,31,0.00,1.0
2026-07-17,乐山,四线城市,四川,阵雨,33,0.00,1.0
2026-07-17,韶关,四线城市,广东,雷阵雨,33,0.00,1.0
2026-07-17,许昌,四线城市,河南,大雨,31,0.00,1.0
2026-07-17,盘锦,四线城市,辽宁,多云,29,0.00,1.0
2026-07-17,景德镇,四线城市,江西,多云,35,0.00,0.6
2026-07-17,宣城,四线城市,安徽,晴,36,0.00,1.0
2026-07-17,东营,四线城市,山东,小雨,29,0.00,1.0
2026-07-17,红河哈尼族彝族自治州,四线城市,云南,中雨,27,0.00,1.0
2026-07-17,武威,四线城市,甘肃,小雨,30,0.00,1.0
2026-07-17,滨州,四线城市,山东,小雨,28,0.00,1.0
2026-07-17,舟山,四线城市,浙江,多云,36,0.00,0.8
2026-07-17,湘潭,四线城市,湖南,晴,37,0.00,1.0
2026-07-17,怀化,四线城市,湖南,雷阵雨,36,0.00,1.0
2026-07-17,南平,四线城市,福建,阴,35,0.00,1.0
2026-07-17,黄石,四线城市,湖北,阴,36,0.00,1.0
2026-07-17,梧州,四线城市,广西,阵雨,32,0.00,1.0
2026-07-17,昭通,四线城市,云南,小雨,25,0.00,1.0
2026-07-17,六盘水,四线城市,贵州,中雨,26,0.00,1.0
2026-07-17,焦作,四线城市,河南,小雨,29,0.00,1.0
2026-07-17,榆林,四线城市,陕西,晴,30,0.00,0.75
2026-07-17,达州,四线城市,四川,阵雨,34,0.00,1.0
2026-07-17,赤峰,四线城市,内蒙古,多云,30,0.00,1.0
2026-07-17,吉林,四线城市,吉林,小雨,28,0.00,1.0
2026-07-17,承德,四线城市,河北,多云,30,0.00,1.0
2026-07-17,鞍山,四线城市,辽宁,晴,31,0.00,1.0
2026-07-17,大理白族自治州,四线城市,云南,小雨,24,0.00,1.0
2026-07-17,大同,四线城市,山西,晴,30,0.00,1.0
2026-07-17,铜陵,四线城市,安徽,雷阵雨,35,0.00,1.0
2026-07-17,平顶山,四线城市,河南,大雨,30,0.00,1.0
2026-07-17,新余,四线城市,江西,多云,35,0.00,1.0
2026-07-17,毕节,四线城市,贵州,阵雨,26,0.00,0.6667
2026-07-17,汉中,四线城市,陕西,阴,33,0.00,1.0
2026-07-17,黔南布依族苗族自治州,四线城市,贵州,阵雨,30,0.00,1.0
2026-07-17,曲靖,四线城市,云南,小雨,27,0.00,1.0
2026-07-17,娄底,四线城市,湖南,多云,35,0.30,0.5
2026-07-17,白银,四线城市,甘肃,多云,29,0.00,1.0
2026-07-17,张家口,四线城市,河北,多云,31,0.00,1.0
2026-07-17,文昌,四线城市,海南,雷阵雨,33,0.00,1.0
2026-07-17,黄山,四线城市,安徽,多云,35,0.00,1.0
2026-07-17,泸州,四线城市,四川,大雨,33,0.00,1.0
2026-07-17,鄂州,四线城市,湖北,阴,36,0.00,1.0
2026-07-17,吉安,四线城市,江西,晴,36,0.00,1.0
2026-07-17,大庆,四线城市,黑龙江,晴,29,0.00,1.0
2026-07-17,秦皇岛,四线城市,河北,阴,30,0.50,1.0
2026-07-17,长治,四线城市,山西,小雨,22,0.00,1.0
2026-07-17,十堰,四线城市,湖北,小雨,33,0.00,1.0
2026-07-17,临汾,四线城市,山西,晴,31,0.00,1.0
2026-07-17,淮北,四线城市,安徽,中雨,31,0.00,1.0
2026-07-17,恩施土家族苗族自治州,五线城市,湖北,小雨,33,0.00,1.0
2026-07-17,遂宁,五线城市,四川,雷阵雨,34,0.00,1.0
2026-07-17,荆门,五线城市,湖北,小雨,33,0.00,1.0
2026-07-17,广安,五线城市,四川,雷阵雨,33,0.00,0.875
2026-07-17,延安,五线城市,陕西,多云,28,0.00,1.0
2026-07-17,张家界,五线城市,湖南,小雨,36,0.00,1.0
2026-07-17,资阳,五线城市,四川,雷阵雨,34,0.00,1.0
2026-07-17,天水,五线城市,甘肃,多云,32,0.00,1.0
2026-07-17,铁岭,五线城市,辽宁,晴,31,0.00,1.0
2026-07-17,仙桃,五线城市,湖北,阴,35,0.00,1.0
2026-07-17,白城,五线城市,吉林,多云,29,0.00,1.0
2026-07-17,石嘴山,五线城市,宁夏,多云,32,0.00,1.0
2026-07-17,辽阳,五线城市,辽宁,多云,31,0.00,1.0
2026-07-17,葫芦岛,五线城市,辽宁,多云,31,0.00,1.0
2026-07-17,雅安,五线城市,四川,阵雨,31,0.00,1.0
2026-07-17,阜新,五线城市,辽宁,晴,31,0.00,1.0
2026-07-17,贺州,五线城市,广西,阵雨,33,0.00,1.0
2026-07-17,朝阳,五线城市,辽宁,晴,33,0.00,1.0
2026-07-17,池州,五线城市,安徽,晴,34,0.00,1.0
2026-07-17,抚顺,五线城市,辽宁,多云,31,0.00,1.0
2026-07-17,西双版纳傣族自治州,五线城市,云南,小雨,28,0.00,1.0
2026-07-17,楚雄彝族自治州,五线城市,云南,中雨,26,0.00,1.0
2026-07-17,防城港,五线城市,广西,大雨,29,0.00,1.0
2026-07-17,玉溪,五线城市,云南,中雨,26,0.00,1.0
2026-07-17,鹰潭,五线城市,江西,多云,36,0.00,1.0
2026-07-17,通化,五线城市,吉林,多云,29,0.00,1.0
