区域,门店数,今日暴雨,今日大雨+,今日小雨,今日晴好,今日高温,明日暴雨,明日大雨+,明日小雨,明日晴好,免配,0.5元,其他
一线城市,4,0,3,1,0,0,0,3,1,0,4,0,0
新一线城市,12,0,5,4,3,1,0,3,6,3,12,0,0
二线城市,29,0,13,7,9,1,0,10,4,15,28,0,1
三线城市,67,1,21,12,33,11,0,23,15,29,67,0,0
四线城市,85,1,20,23,41,12,0,23,27,35,83,1,1
五线城市,65,0,11,16,38,11,0,8,27,30,65,0,0
未分层,27,0,5,7,15,5,1,6,11,9,0,0,0

区域,城数,天气特征,严重程度,代表城市
一线城市,4,强降雨,🟡 中等,深圳(雷阵雨)、北京(雷阵雨)、广州(中雨)
新一线城市,12,强降雨,🟡 中等,杭州(中雨)、苏州(中雨)、东莞(雷阵雨)、天津(雷阵雨)、佛山(中雨)
二线城市,29,强降雨,🟡 中等,沈阳(雷阵雨)、南通(中雨)、南昌(中雨)、常州(中雨)、福州(中雨)
三线城市,67,强降雨,🔴 严重,盐城(大雨)、汕头(雷阵雨)、扬州(中雨)、芜湖(中雨)、镇江(中雨)
四线城市,85,强降雨,🔴 严重,云浮(中雨)、茂名(雷阵雨)、邵阳(中雨)、梅州(雷阵雨)、河源(雷阵雨)
五线城市,65,强降雨,🟡 中等,铁岭(雷阵雨)、朝阳(雷阵雨)、贺州(大雨)、池州(中雨)、防城港(大雨)
未分层,27,强降雨,🟡 中等,河池(中雨)、泰州(中雨)、北海(雷阵雨)、阳江(雷阵雨)、贵港(中雨)

配送费汇总,免配259城(98.9%),0.5元1城(0.4%),其他2城(0.8%)
高温汇总,≥35°C共41城
