城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
亳州,四线城市,安徽,晴,32,0.00,1.0
六盘水,四线城市,贵州,多云,29,0.00,1.0
内江,四线城市,四川,晴,40,0.00,0.9
十堰,四线城市,湖北,晴,38,0.00,1.0
南平,四线城市,福建,多云,34,0.00,1.0
吉安,四线城市,江西,多云,34,0.00,1.0
吉林,四线城市,吉林,阴,31,0.00,1.0
咸宁,四线城市,湖北,中雨,29,0.00,1.0
大同,四线城市,山西,小雨,28,0.00,1.0
大庆,四线城市,黑龙江,小雨,32,0.00,1.0
大理白族自治州,四线城市,云南,小雨,26,0.00,1.0
娄底,四线城市,湖南,中雨,30,1.00,0.5
孝感,四线城市,湖北,中雨,30,0.00,1.0
宜宾,四线城市,四川,晴,41,0.00,1.0
宝鸡,四线城市,陕西,小雨,38,0.00,1.0
宣城,四线城市,安徽,小雨,33,0.00,1.0
常德,四线城市,湖南,小雨,30,0.00,1.0
平顶山,四线城市,河南,晴,34,0.00,1.0
张家口,四线城市,河北,雷阵雨,28,0.00,1.0
德阳,四线城市,四川,晴,38,0.00,1.0
怀化,四线城市,湖南,雷阵雨,33,0.00,1.0
承德,四线城市,河北,雷阵雨,28,0.00,1.0
抚州,四线城市,江西,多云,35,0.00,1.0
文昌,四线城市,海南,多云,33,0.00,1.0
新余,四线城市,江西,阵雨,33,0.00,1.0
日照,四线城市,山东,多云,28,0.00,1.0
昭通,四线城市,云南,多云,31,0.00,1.0
晋中,四线城市,山西,小雨,27,0.00,1.0
景德镇,四线城市,江西,多云,35,0.00,1.0
曲靖,四线城市,云南,多云,30,0.00,1.0
梅州,四线城市,广东,多云,35,0.00,1.0
梧州,四线城市,广西,中雨,31,0.00,1.0
榆林,四线城市,陕西,小雨,30,0.00,0.75
武威,四线城市,甘肃,晴,36,0.00,1.0
毕节,四线城市,贵州,多云,30,0.00,0.6667
永州,四线城市,湖南,小雨,31,0.00,1.0
汉中,四线城市,陕西,晴,38,0.00,1.0
汕尾,四线城市,广东,晴,31,0.00,1.0
河源,四线城市,广东,雷阵雨,35,0.00,1.0
泸州,四线城市,四川,晴,40,0.00,1.0
淮北,四线城市,安徽,小雨,29,0.00,1.0
淮南,四线城市,安徽,中雨,27,0.00,1.0
湘潭,四线城市,湖南,小雨,32,0.00,1.0
滨州,四线城市,山东,小雨,35,0.00,1.0
濮阳,四线城市,河南,多云,33,0.00,1.0
焦作,四线城市,河南,小雨,33,0.00,1.0
玉林,四线城市,广西,阵雨,30,0.00,1.0
白银,四线城市,甘肃,晴,33,0.00,1.0
百色,四线城市,广西,阵雨,34,0.00,1.0
益阳,四线城市,湖南,小雨,33,0.80,1.0
盘锦,四线城市,辽宁,多云,29,0.00,1.0
眉山,四线城市,四川,晴,39,0.00,0.875
秦皇岛,四线城市,河北,雷阵雨,28,0.50,1.0
红河哈尼族彝族自治州,四线城市,云南,小雨,30,0.00,1.0
自贡,四线城市,四川,晴,39,0.00,1.0
舟山,四线城市,浙江,小雨,34,0.00,1.0
茂名,四线城市,广东,雷阵雨,31,0.00,1.0
营口,四线城市,辽宁,多云,30,0.00,1.0
衡水,四线城市,河北,中雨,31,0.00,1.0
衢州,四线城市,浙江,多云,35,0.00,1.0
西宁,四线城市,青海,晴,27,0.00,0.975
许昌,四线城市,河南,多云,35,0.00,1.0
赤峰,四线城市,内蒙古,阵雨,31,0.00,1.0
达州,四线城市,四川,晴,38,0.00,1.0
邵阳,四线城市,湖南,大雨,29,0.00,1.0
郴州,四线城市,湖南,多云,34,0.00,1.0
鄂州,四线城市,湖北,中雨,29,0.00,1.0
铜陵,四线城市,安徽,阵雨,30,0.00,1.0
锦州,四线城市,辽宁,晴,32,0.00,1.0
长治,四线城市,山西,小雨,27,0.00,1.0
鞍山,四线城市,辽宁,多云,33,0.00,1.0
韶关,四线城市,广东,雷阵雨,33,0.00,1.0
黄冈,四线城市,湖北,中雨,30,0.00,1.0
黄山,四线城市,安徽,小雨,33,0.00,1.0
黄石,四线城市,湖北,中雨,30,0.00,1.0
黔东南苗族侗族自治州,四线城市,贵州,晴,32,0.00,1.0
黔南布依族苗族自治州,四线城市,贵州,晴,31,0.00,1.0
龙岩,四线城市,福建,多云,34,0.00,1.0
七台河,五线城市,黑龙江,小雨,31,0.00,1.0
万宁,五线城市,海南,多云,33,0.00,1.0
东方,五线城市,海南,多云,33,0.00,1.0
中卫,五线城市,宁夏,晴,34,0.00,1.0
临夏回族自治州,五线城市,甘肃,晴,31,0.00,1.0
乌兰察布,五线城市,内蒙古,多云,26,0.00,1.0
仙桃,五线城市,湖北,中雨,31,0.00,1.0
伊春,五线城市,黑龙江,小雨,28,0.00,1.0
佳木斯,五线城市,黑龙江,小雨,31,0.00,1.0
儋州,五线城市,海南,雷阵雨,35,0.00,1.0
凉山彝族自治州,五线城市,四川,多云,32,0.00,1.0
吴忠,五线城市,宁夏,晴,34,0.00,1.0
四平,五线城市,吉林,阴,29,0.00,1.0
固原,五线城市,宁夏,晴,29,0.00,1.0
天水,五线城市,甘肃,晴,35,0.00,1.0
安康,五线城市,陕西,晴,40,0.00,1.0
崇左,五线城市,广西,阵雨,33,0.00,1.0
巴中,五线城市,四川,晴,39,0.00,1.0
广元,五线城市,四川,晴,37,0.00,1.0
广安,五线城市,四川,晴,40,0.00,1.0
庆阳,五线城市,甘肃,晴,30,0.00,1.0
延安,五线城市,陕西,小雨,27,0.00,1.0
延边,五线城市,吉林,晴,32,0.00,1.0
张家界,五线城市,湖南,晴,36,0.00,1.0
德宏傣族景颇族自治州,五线城市,云南,小雨,30,0.00,1.0
忻州,五线城市,山西,小雨,29,0.00,1.0
恩施土家族苗族自治州,五线城市,湖北,晴,37,0.00,1.0
抚顺,五线城市,辽宁,多云,32,0.00,1.0
文山壮族苗族自治州,五线城市,云南,小雨,30,0.00,1.0
普洱,五线城市,云南,小雨,28,0.00,1.0
朝阳,五线城市,辽宁,多云,31,0.00,1.0
本溪,五线城市,辽宁,多云,31,0.00,1.0
来宾,五线城市,广西,阵雨,31,0.00,1.0
松原,五线城市,吉林,多云,31,0.00,1.0
楚雄彝族自治州,五线城市,云南,小雨,29,0.00,1.0
池州,五线城市,安徽,小雨,30,0.00,1.0
济源,五线城市,河南,多云,33,0.00,1.0
湘西土家族苗族自治州,五线城市,湖南,晴,35,0.00,1.0
潜江,五线城市,湖北,阵雨,31,0.00,1.0
玉溪,五线城市,云南,小雨,28,0.00,1.0
白城,五线城市,吉林,多云,33,0.00,1.0
石嘴山,五线城市,宁夏,晴,34,0.00,1.0
绥化,五线城市,黑龙江,小雨,28,0.00,1.0
荆门,五线城市,湖北,阴,31,0.00,1.0
萍乡,五线城市,江西,阵雨,32,0.00,1.0
葫芦岛,五线城市,辽宁,阴,29,0.00,1.0
西双版纳傣族自治州,五线城市,云南,阵雨,33,0.00,1.0
贺州,五线城市,广西,中雨,31,0.00,1.0
资阳,五线城市,四川,晴,40,0.00,1.0
辽源,五线城市,吉林,阴,30,0.00,1.0
辽阳,五线城市,辽宁,多云,33,0.00,0.75
通化,五线城市,吉林,多云,29,0.00,1.0
通辽,五线城市,内蒙古,小雨,32,0.00,1.0
遂宁,五线城市,四川,晴,40,0.00,1.0
金昌,五线城市,甘肃,晴,37,0.00,1.0
钦州,五线城市,广西,中雨,30,0.00,1.0
铁岭,五线城市,辽宁,多云,32,0.00,1.0
铜仁,五线城市,贵州,多云,35,0.00,1.0
阜新,五线城市,辽宁,多云,31,0.00,1.0
防城港,五线城市,广西,阵雨,31,0.00,1.0
陇南,五线城市,甘肃,多云,35,0.00,1.0
随州,五线城市,湖北,阴,33,0.00,1.0
雅安,五线城市,四川,晴,35,0.00,1.0
鹤壁,五线城市,河南,小雨,33,0.00,1.0
鹰潭,五线城市,江西,多云,35,0.00,1.0
三门峡,,河南,多云,33,,
兴安,,内蒙古,雷阵雨,29,,
北海,,广西,中雨,30,,
吕梁,,山西,小雨,28,,
呼伦贝尔,,内蒙古,小雨,24,,
呼和浩特,,内蒙古,小雨,29,,
商洛,,陕西,小雨,34,,
大连,,辽宁,晴,30,,
宁波,,浙江,多云,35,,
